TestName,NrEvents,NrGoroutines,NrAtomicEvents,NrChannelEvents,NrSelectEvents,NrMutexEvents,NrWaitgroupEvents,NrCondVariablesEvents,NrOnceOperations
TestCockroach10214,23,3,0,0,0,18,0,0,0
TestCockroach1055,39,5,4,4,0,13,10,0,0
TestCockroach10790,20,6,0,3,3,2,0,0,0
TestCockroach10790,1,1,0,0,0,0,0,0,0
TestCockroach10790,1,1,0,0,0,0,0,0,0
TestCockroach10790,1,1,0,0,0,0,0,0,0
TestCockroach10790,1,1,0,0,0,0,0,0,0
TestCockroach10790,1,1,0,0,0,0,0,0,0
TestCockroach13197,3,2,0,1,0,0,0,0,0
TestCockroach13755,3,2,0,1,0,0,0,0,0
TestCockroach1462,21,3,0,2,2,4,5,0,0
TestCockroach1462,1,1,0,0,0,0,0,0,0
TestCockroach1462,1,1,0,0,0,0,0,0,0
TestCockroach1462,1,1,0,0,0,0,0,0,0
TestCockroach16167,7,2,0,0,0,4,0,0,0
TestCockroach18101,17,4,0,10,0,0,0,0,0
TestCockroach2448,132,3,0,0,126,0,0,0,0
TestCockroach2448,1,1,0,0,0,0,0,0,0
TestCockroach2448,1,1,0,0,0,0,0,0,0
TestCockroach2448,1,1,0,0,0,0,0,0,0
TestCockroach2448,1,1,0,0,0,0,0,0,0
TestCockroach2448,1,1,0,0,0,0,0,0,0
TestCockroach24808,4,1,0,2,0,0,0,0,0
TestCockroach25456,2,1,0,1,0,0,0,0,0
TestCockroach35073,44,3,18,18,0,0,4,0,0
TestCockroach35931,6,1,0,2,0,2,0,0,0
TestCockroach3710,19,4,0,0,0,12,0,0,0
TestCockroach584,4,2,0,0,0,2,0,0,0
TestCockroach6181,34,5,0,0,0,18,7,0,0
TestCockroach7504,17,3,0,0,0,8,4,0,0
TestCockroach9935,4,2,0,0,0,2,0,0,0
TestEtcd10492,6,1,0,0,0,6,0,0,0
TestEtcd5509,13,2,0,2,0,7,0,0,0
TestEtcd6708,2,1,0,0,0,2,0,0,0
TestEtcd6857,15,4,0,3,2,0,0,0,0
TestEtcd6857,1,1,0,0,0,0,0,0,0
TestEtcd6857,1,1,0,0,0,0,0,0,0
TestEtcd6857,1,1,0,0,0,0,0,0,0
TestEtcd6857,1,1,0,0,0,0,0,0,0
TestEtcd6857,1,1,0,0,0,0,0,0,0
TestEtcd,11,3,0,3,1,2,0,0,0
TestEtcd,1,1,0,0,0,0,0,0,0
TestEtcd,1,1,0,0,0,0,0,0,0
TestEtcd7443,29,4,0,6,0,14,0,0,0
TestEtcd7492,39,5,0,7,4,10,5,0,0
TestEtcd7492,1,1,0,0,0,0,0,0,0
TestEtcd7492,1,1,0,0,0,0,0,0,0
TestEtcd7492,1,1,0,0,0,0,0,0,0
TestEtcd7492,1,1,0,0,0,0,0,0,0
TestEtcd7492,1,1,0,0,0,0,0,0,0
TestEtcd7902,14,5,0,1,0,5,2,0,0
TestGrpc1293,6,2,0,1,1,0,0,0,0
TestGrpc1293,1,1,0,0,0,0,0,0,0
TestGrpc1293,1,1,0,0,0,0,0,0,0
TestGrpc1293,1,1,0,0,0,0,0,0,0
TestGrpc1293,1,1,0,0,0,0,0,0,0
TestGrpc1353,15,4,0,4,0,5,0,0,0
TestGrpc1424,12,4,0,3,0,0,0,0,0
TestGrpc1460,11,3,0,0,1,4,0,0,0
TestGrpc1460,1,1,0,0,0,0,0,0,0
TestGrpc1460,1,1,0,0,0,0,0,0,0
TestGrpc1460,1,1,0,0,0,0,0,0,0
TestGrpc3017,31,4,0,1,0,27,0,0,0
TestGrpc660,11,4,0,2,1,0,0,0,0
TestGrpc660,1,1,0,0,0,0,0,0,0
TestGrpc660,1,1,0,0,0,0,0,0,0
