TestName,Time
TestCockroach10214,1.32289
TestCockroach1055,21.42335
TestCockroach10790,7.03003
TestCockroach13197,1.29929
TestCockroach13755,1.29622
TestCockroach1462,6.62549
TestCockroach16167,1.33557
TestCockroach18101,1.31573
TestCockroach2448,8.35298
TestCockroach24808,41.56527
TestCockroach25456,42.99274
TestCockroach35073,41.49775
TestCockroach35931,41.53890
TestCockroach3710,1.34132
TestCockroach584,1.33397
TestCockroach6181,1.32136
TestCockroach7504,1.33354
TestCockroach9935,1.33061
TestEtcd10492,41.52029
TestEtcd5509,1.33202
TestEtcd6708,41.50897
TestEtcd6857,7.07160
TestEtcd,3.66352
TestEtcd7443,1.37978
TestEtcd7492,27.24631
TestEtcd7902,1.30947
TestGrpc1293,5.91366
TestGrpc1353,1.32613
TestGrpc1424,1.31306
TestGrpc1460,4.76483
TestGrpc3017,21.41525
TestGrpc660,5.90466
TestGrpc795,41.51115
TestGrpc862,35.87693
TestHugo3251,41.57894
TestHugo5379,46.24497
TestIstio16224,45.03960
TestIstio17860,7.13857
TestIstio18454,7.14753
TestKubernetes10182,1.31912
TestKubernetes11298,3.64267
TestKubernetes13135,7.11192
TestKubernetes1321,1.32704
TestKubernetes25331,5.93367
TestKubernetes26980,1.35386
TestKubernetes30872_bad_test,7.09127
TestKubernetes38669,1.32923
TestKubernetes5316,4.77644
TestKubernetes58107,15.62746
TestKubernetes62464,1.33495
TestKubernetes6632,1.34005
TestKubernetes70277,485.04365
TestMoby17176,5.95292
TestMoby21233,7.08598
TestMoby25384,1.30829
TestMoby27782,7.19908
TestMoby28462,3.65574
TestMoby29733,41.59316
TestMoby30408,41.43297
TestMoby33293,1.30430
TestMoby33781,4.72778
TestMoby36114,1.29369
TestMoby4395,1.30683
TestMoby4951,1.29822
TestMoby7559,1.37376
TestServing2137,3.64605
TestSyncthing4829,41.57975
TestSyncthing5795,45.11257
TestCockroach35501,2.02686
TestCockroach4407,1.42328
TestEtcd3077,3.86668
TestEtcd4876,1.34619
TestEtcd8194,0.38141
TestEtcd9446,1.32821
TestGrpc1687,0.44113
TestGrpc1748,1.34727
TestGrpc2371,0.41529
TestGrpc3090,1.34292
TestIstio16742,1.35054
TestIstio8144,1.43918
TestIstio8214,1.35594
TestIstio8967,1.34620
TestKubernetes13058,7.19054
TestKubernetes49404,1.38682
TestKubernetes70892,1.33924
TestKubernetes77796,1.37746
TestKubernetes79631,4.82112
TestKubernetes80284,1.32327
TestKubernetes81091,1.32700
TestKubernetes81148,3.63171
TestKubernetes82239,8.95213
TestKubernetes82550,1.43288
TestKubernetes88331,6.12949
TestKubernetes89164,1.31228
TestMoby18412,5.02496
TestMoby22941,1.33877
TestMoby27037,1.30966
TestServing3068,1.30491
TestServing3148,1.31847
TestServing4908,1.31916
TestServing5865,1.30831
TestServing6171,1.34011
TestServing6472,1.41421
Total,1436.94046
