TestName,NrMut,NrMutInvalid,NrMutDouble,ActiveReleased
TestCockroach10214,562,91,0,0
TestCockroach10214,1,1,0,0
TestCockroach10214,3,0,0,1
TestCockroach10214,1,0,0,0
TestCockroach10214,3,0,0,1
TestCockroach10214,1,0,0,0
TestCockroach10214,1,0,0,1
TestCockroach10214,1,0,0,1
TestCockroach10214,5,0,0,0
TestCockroach10214,5,1,0,0
TestCockroach10214,1,1,0,1
TestCockroach10214,5,1,0,1
TestCockroach10214,5,0,0,1
TestCockroach10214,3,0,0,1
TestCockroach10214,1,0,0,0
TestCockroach10214,1,0,0,1
TestCockroach10214,6,0,0,0
TestCockroach10214,3,0,0,0
TestCockroach10214,5,0,0,0
TestCockroach10214,3,0,0,0
TestCockroach10214,1,1,0,1
TestCockroach10214,0,0,0,1
TestCockroach10214,3,1,0,0
TestCockroach10214,0,0,0,0
TestCockroach10214,3,0,0,1
TestCockroach10214,6,1,0,1
TestCockroach10214,3,0,0,0
TestCockroach10214,3,1,0,1
TestCockroach10214,1,1,0,0
TestCockroach1055,89,14,0,0
TestCockroach1055,3,0,0,0
TestCockroach1055,1,1,0,1
TestCockroach1055,1,0,0,0
TestCockroach1055,1,0,0,1
TestCockroach1055,1,1,0,1
TestCockroach10790,0,0,0,0
TestCockroach13197,0,0,0,0
TestCockroach13755,0,0,0,0
TestCockroach1462,0,0,0,0
TestCockroach16167,36,2,0,0
TestCockroach16167,0,0,0,1
TestCockroach16167,0,0,0,1
TestCockroach16167,0,0,0,0
TestCockroach16167,0,0,0,0
TestCockroach16167,1,1,0,0
TestCockroach16167,0,0,0,0
TestCockroach18101,63,4,0,0
TestCockroach18101,1,0,0,0
TestCockroach18101,1,0,0,0
TestCockroach18101,1,0,0,1
TestCockroach18101,1,0,0,1
TestCockroach18101,3,0,0,1
TestCockroach18101,1,0,0,1
TestCockroach18101,3,0,0,0
TestCockroach18101,5,1,0,0
TestCockroach18101,3,0,0,1
TestCockroach18101,1,0,0,0
TestCockroach18101,3,0,0,0
TestCockroach18101,1,0,0,0
TestCockroach18101,1,0,0,0
TestCockroach18101,1,0,0,1
TestCockroach18101,1,0,0,1
TestCockroach18101,3,0,0,1
TestCockroach18101,1,0,0,1
TestCockroach18101,3,0,0,0
TestCockroach18101,1,0,0,1
TestCockroach18101,3,0,0,1
TestCockroach18101,1,0,0,1
TestCockroach18101,1,0,0,0
TestCockroach18101,1,0,0,0
TestCockroach18101,1,0,0,0
TestCockroach18101,5,1,0,1
TestCockroach18101,1,0,0,1
TestCockroach18101,3,0,0,0
TestCockroach18101,1,0,0,0
TestCockroach2448,0,0,0,0
TestCockroach24808,0,0,0,0
TestCockroach25456,0,0,0,0
TestCockroach35073,37,15,0,0
TestCockroach35073,3,2,0,1
TestCockroach35073,3,1,0,1
TestCockroach35073,3,0,0,0
TestCockroach35073,1,0,0,0
TestCockroach35073,1,0,0,0
TestCockroach35931,0,0,0,0
TestCockroach3710,274,33,0,0
TestCockroach3710,5,0,0,1
TestCockroach3710,5,1,0,1
TestCockroach3710,5,0,0,1
TestCockroach3710,3,0,0,1
TestCockroach3710,1,0,0,0
TestCockroach3710,5,0,0,0
TestCockroach3710,1,0,0,0
TestCockroach3710,3,0,0,0
TestCockroach3710,1,0,0,0
TestCockroach3710,1,0,0,1
TestCockroach3710,6,1,0,0
TestCockroach3710,5,0,0,1
TestCockroach3710,3,0,0,0
TestCockroach3710,0,0,0,1
TestCockroach3710,1,0,0,1
TestCockroach3710,5,0,0,1
TestCockroach3710,5,1,0,0
TestCockroach3710,3,1,0,0
TestCockroach3710,6,0,0,1
TestCockroach3710,3,0,0,1
TestCockroach3710,1,0,0,1
TestCockroach3710,3,0,0,0
TestCockroach3710,6,0,0,1
TestCockroach3710,1,0,0,0
TestCockroach3710,1,0,0,0
TestCockroach3710,3,0,0,1
TestCockroach3710,3,0,0,1
TestCockroach3710,6,0,0,1
TestCockroach584,0,0,0,0
TestCockroach6181,237,4,0,0
TestCockroach6181,1,0,0,1
TestCockroach6181,1,0,0,1
TestCockroach6181,1,0,0,1
TestCockroach6181,3,0,0,1
TestCockroach6181,6,0,0,0
TestCockroach6181,6,0,0,1
TestCockroach6181,3,0,0,0
TestCockroach6181,3,0,0,0
TestCockroach6181,5,0,0,0
TestCockroach6181,6,0,0,0
TestCockroach6181,1,0,0,0
TestCockroach6181,3,0,0,1
TestCockroach6181,3,0,0,1
TestCockroach6181,1,0,0,1
TestCockroach6181,1,0,0,0
TestCockroach6181,1,0,0,1
TestCockroach6181,5,0,0,0
TestCockroach6181,6,0,0,1
TestCockroach6181,3,0,0,1
TestCockroach6181,3,0,0,0
TestCockroach6181,1,0,0,1
TestCockroach6181,1,0,0,1
TestCockroach6181,3,0,0,1
TestCockroach6181,1,0,0,1
TestCockroach6181,3,0,0,0
TestCockroach6181,1,0,0,0
TestCockroach6181,1,0,0,0
TestCockroach6181,1,0,0,0
TestCockroach7504,170,21,0,0
TestCockroach7504,6,1,0,1
TestCockroach7504,0,0,0,1
TestCockroach7504,0,0,0,1
TestCockroach7504,0,0,0,0
TestCockroach7504,3,0,0,1
TestCockroach7504,0,0,0,0
TestCockroach9935,0,0,0,0
TestEtcd10492,0,0,0,0
TestEtcd5509,0,0,0,0
