TestName,Time
TestCockroach10214,181.59218
TestCockroach1055,198.56769
TestCockroach10790,1.27784
TestCockroach13197,1.27019
TestCockroach13755,1.27518
TestCockroach1462,1.27766
TestCockroach16167,185.78042
TestCockroach18101,180.07385
TestCockroach2448,1.26948
TestCockroach24808,41.40922
TestCockroach25456,41.45601
TestCockroach35073,198.45066
TestCockroach35931,41.45102
TestCockroach3710,183.26984
TestCockroach584,1.26698
TestCockroach6181,180.09929
TestCockroach7504,188.23995
TestCockroach9935,1.26887
TestEtcd10492,41.38109
TestEtcd5509,1.25376
TestEtcd6708,41.40676
TestEtcd6857,1.25623
TestEtcd,1.25090
TestEtcd7443,187.88208
TestEtcd7492,273.26438
TestEtcd7902,180.89893
TestGrpc1293,1.29744
TestGrpc1353,180.18742
TestGrpc1424,1.31862
TestGrpc1460,186.12112
TestGrpc3017,199.39935
TestGrpc660,1.28361
TestGrpc795,41.46787
TestGrpc862,1.91996
TestHugo3251,201.67752
TestHugo5379,42.48738
TestIstio16224,41.49136
TestIstio17860,198.40881
TestIstio18454,1.32704
TestKubernetes10182,180.19027
TestKubernetes11298,1.30134
TestKubernetes13135,192.53549
TestKubernetes1321,183.81220
TestKubernetes25331,1.30088
TestKubernetes26980,184.52914
TestKubernetes30872_bad_test,182.88834
TestKubernetes38669,1.29468
TestKubernetes5316,1.35193
TestKubernetes58107,298.37835
TestKubernetes62464,183.00476
TestKubernetes6632,1.31420
TestKubernetes70277,43.54743
TestMoby17176,1.63061
TestMoby21233,183.40015
TestMoby25384,1.38115
TestMoby27782,1.31429
TestMoby28462,1.30295
TestMoby29733,41.52557
TestMoby30408,41.49802
TestMoby33293,1.27599
TestMoby33781,1.27688
TestMoby36114,1.27440
TestMoby4395,1.29682
TestMoby4951,181.99477
TestMoby7559,1.34972
TestServing2137,184.79325
TestSyncthing4829,41.51463
TestSyncthing5795,41.48533
TestCockroach35501,1.27919
TestCockroach4407,203.13558
TestEtcd3077,1.31791
TestEtcd4876,1.30829
TestEtcd8194,0.34974
TestEtcd9446,1.30220
TestGrpc1687,0.27540
TestGrpc1748,191.78862
TestGrpc2371,0.28121
TestGrpc3090,185.18973
TestIstio16742,184.57195
TestIstio8144,1.27922
TestIstio8214,1.27848
TestIstio8967,1.28694
TestKubernetes13058,1.33008
TestKubernetes49404,1.30339
TestKubernetes70892,198.17986
TestKubernetes77796,182.81447
TestKubernetes79631,1.30473
TestKubernetes80284,1.27081
TestKubernetes81091,192.97075
TestKubernetes81148,1.28135
TestKubernetes82239,1.30773
TestKubernetes82550,1.29084
TestKubernetes88331,1.27277
TestKubernetes89164,184.60291
TestMoby18412,1.51414
TestMoby22941,180.71257
TestMoby27037,1.28215
TestServing3068,185.93177
TestServing3148,1.28905
TestServing4908,1.28706
TestServing5865,1.27787
TestServing6171,1.30093
TestServing6472,184.72945
Total,7743.01018
