TestName,NrMut,NrMutInvalid,NrMutDouble,ActiveReleased
TestCockroach10214,119,19,0,0
TestCockroach10214,131,7,0,1
TestCockroach10214,92,0,0,1
TestCockroach10214,71,10,0,1
TestCockroach10214,0,0,0,1
TestCockroach10214,88,8,0,1
TestCockroach10214,64,14,0,1
TestCockroach10214,56,4,0,1
TestCockroach10214,62,8,0,1
TestCockroach10214,0,0,0,1
TestCockroach10214,80,1,0,0
TestCockroach10214,75,3,0,1
TestCockroach10214,43,0,0,1
TestCockroach10214,70,3,0,1
TestCockroach10214,62,0,0,1
TestCockroach10214,0,0,0,1
TestCockroach10214,57,0,0,1
TestCockroach10214,63,0,0,0
TestCockroach10214,71,0,0,0
TestCockroach10214,65,0,0,0
TestCockroach10214,56,0,0,1
TestCockroach10214,64,0,0,1
TestCockroach10214,62,0,0,1
TestCockroach10214,0,0,0,1
TestCockroach10214,48,2,0,1
TestCockroach10214,0,0,0,1
TestCockroach10214,0,0,0,1
TestCockroach10214,70,1,0,1
TestCockroach10214,0,0,0,1
TestCockroach10214,55,0,0,1
TestCockroach10214,0,0,0,1
TestCockroach10214,0,0,0,1
TestCockroach10214,56,0,0,1
TestCockroach10214,63,0,0,1
TestCockroach10214,0,0,0,1
TestCockroach10214,56,4,0,1
TestCockroach10214,55,0,0,1
TestCockroach10214,57,0,0,0
TestCockroach10214,60,2,0,0
TestCockroach10214,61,0,0,1
TestCockroach10214,60,2,0,1
TestCockroach10214,0,0,0,1
TestCockroach10214,46,0,0,1
TestCockroach10214,52,0,0,1
TestCockroach10214,57,0,0,0
TestCockroach10214,65,0,0,1
TestCockroach10214,62,0,0,0
TestCockroach10214,53,0,0,0
TestCockroach10214,0,0,0,1
TestCockroach10214,69,0,0,1
TestCockroach10214,61,0,0,1
TestCockroach10214,53,0,0,1
TestCockroach1055,180,6,0,0
TestCockroach1055,161,39,0,1
TestCockroach1055,132,10,0,1
TestCockroach1055,136,10,0,1
TestCockroach1055,76,2,0,0
TestCockroach1055,102,24,0,1
TestCockroach1055,0,0,0,1
TestCockroach10790,1,0,0,0
TestCockroach10790,1,0,0,1
TestCockroach10790,0,0,0,1
TestCockroach13197,0,0,0,0
TestCockroach13755,0,0,0,0
TestCockroach1462,137,11,0,0
TestCockroach1462,114,5,0,1
TestCockroach1462,72,3,0,1
TestCockroach1462,0,0,0,1
TestCockroach1462,0,0,0,0
TestCockroach1462,76,0,0,1
TestCockroach1462,73,0,0,1
TestCockroach1462,54,0,0,1
TestCockroach1462,57,3,0,1
TestCockroach1462,71,1,0,1
TestCockroach1462,0,0,0,1
TestCockroach1462,63,0,0,1
TestCockroach1462,0,0,0,1
TestCockroach1462,73,2,0,1
TestCockroach1462,31,0,0,1
TestCockroach1462,52,0,0,1
TestCockroach1462,0,0,0,1
TestCockroach16167,97,9,0,0
TestCockroach16167,0,0,0,1
TestCockroach16167,0,0,0,1
TestCockroach16167,0,0,0,1
TestCockroach16167,91,8,0,1
TestCockroach16167,0,0,0,1
TestCockroach16167,0,0,0,0
TestCockroach16167,0,0,0,1
TestCockroach16167,70,4,0,1
TestCockroach16167,53,0,0,1
TestCockroach16167,77,1,0,1
TestCockroach16167,0,0,0,1
TestCockroach16167,62,0,0,1
TestCockroach16167,59,0,0,1
TestCockroach16167,0,0,0,1
TestCockroach16167,0,0,0,1
TestCockroach16167,59,0,0,1
TestCockroach18101,60,3,0,0
TestCockroach18101,63,9,0,1
TestCockroach18101,48,1,0,1
TestCockroach18101,56,0,0,1
TestCockroach18101,54,0,0,1
TestCockroach18101,56,0,0,1
TestCockroach18101,47,0,0,1
TestCockroach18101,55,0,0,1
TestCockroach18101,54,0,0,0
TestCockroach18101,53,0,0,1
TestCockroach18101,53,0,0,1
TestCockroach18101,58,0,0,1
TestCockroach18101,57,0,0,1
TestCockroach18101,58,0,0,1
TestCockroach18101,53,0,0,1
TestCockroach18101,61,0,0,1
TestCockroach18101,50,0,0,1
TestCockroach2448,0,0,0,0
TestCockroach24808,0,0,0,0
TestCockroach25456,0,0,0,0
TestCockroach35073,97,1,0,0
TestCockroach35073,88,2,0,1
TestCockroach35073,72,0,0,1
TestCockroach35073,73,0,0,1
TestCockroach35073,47,0,0,1
TestCockroach35073,64,0,0,1
TestCockroach35073,48,0,0,0
TestCockroach35931,0,0,0,0
TestCockroach3710,109,13,0,1
TestCockroach3710,0,0,0,1
TestCockroach3710,110,7,0,1
TestCockroach3710,83,4,0,1
TestCockroach3710,0,0,0,1
TestCockroach3710,124,39,0,1
TestCockroach3710,80,1,0,0
TestCockroach3710,0,0,0,1
TestCockroach3710,56,1,0,1
TestCockroach3710,0,0,0,1
TestCockroach3710,0,0,0,1
TestCockroach3710,66,2,0,1
TestCockroach3710,0,0,0,1
TestCockroach3710,40,0,0,1
TestCockroach3710,0,0,0,1
TestCockroach3710,60,3,0,1
TestCockroach3710,50,0,0,0
TestCockroach3710,64,2,0,1
TestCockroach3710,66,0,0,1
TestCockroach3710,65,0,0,1
TestCockroach3710,68,0,0,0
TestCockroach3710,0,0,0,1
TestCockroach3710,0,0,0,1
TestCockroach3710,57,0,0,1
TestCockroach3710,68,0,0,1
TestCockroach3710,0,0,0,1
TestCockroach3710,59,0,0,1
TestCockroach3710,71,1,0,1
TestCockroach3710,88,0,0,1
TestCockroach3710,0,0,0,1
TestCockroach3710,53,0,0,1
TestCockroach3710,58,0,0,0
TestCockroach3710,57,1,0,1
TestCockroach3710,62,0,0,1
TestCockroach3710,57,0,0,1
TestCockroach3710,58,0,0,1
TestCockroach3710,0,0,0,1
TestCockroach3710,62,0,0,1
TestCockroach3710,64,0,0,1
TestCockroach3710,0,0,0,1
TestCockroach3710,67,1,0,1
TestCockroach3710,0,0,0,1
TestCockroach3710,59,0,0,1
TestCockroach3710,0,0,0,1
TestCockroach3710,0,0,0,1
TestCockroach3710,40,7,0,1
TestCockroach3710,58,0,0,1
TestCockroach3710,52,0,0,1
TestCockroach3710,51,0,0,0
TestCockroach3710,57,0,0,1
TestCockroach3710,0,0,0,1
TestCockroach3710,57,0,0,0
TestCockroach3710,77,0,0,1
TestCockroach3710,0,0,0,1
TestCockroach3710,69,0,0,1
TestCockroach3710,61,0,0,1
TestCockroach3710,53,0,0,1
TestCockroach3710,67,0,0,0
TestCockroach3710,43,0,0,1
TestCockroach3710,0,0,0,1
TestCockroach3710,0,0,0,1
TestCockroach3710,72,0,0,1
TestCockroach3710,0,0,0,1
TestCockroach3710,64,0,0,1
TestCockroach3710,0,0,0,1
TestCockroach3710,70,0,0,1
TestCockroach3710,62,0,0,1
TestCockroach3710,56,0,0,1
TestCockroach584,0,0,0,0
TestCockroach6181,132,11,0,0
TestCockroach6181,117,11,0,1
TestCockroach6181,220,37,0,1
TestCockroach6181,66,5,0,1
TestCockroach6181,157,24,0,0
TestCockroach6181,63,3,0,1
TestCockroach6181,76,17,0,1
