TestName,NrEvents,NrGoroutines,NrAtomicEvents,NrChannelEvents,NrSelectEvents,NrMutexEvents,NrWaitgroupEvents,NrCondVariablesEvents,NrOnceOperations
TestCockroach10214,23,3,0,0,0,18,0,0,0
TestCockroach10214,24,13,0,0,0,18,0,0,0
TestCockroach10214,24,13,0,0,0,18,0,0,0
TestCockroach10214,24,13,0,0,0,18,0,0,0
TestCockroach10214,24,13,0,0,0,18,0,0,0
TestCockroach10214,24,13,0,0,0,18,0,0,0
TestCockroach10214,24,13,0,0,0,18,0,0,0
TestCockroach10214,24,13,0,0,0,18,0,0,0
TestCockroach10214,24,13,0,0,0,18,0,0,0
TestCockroach10214,11,13,0,0,0,7,0,0,0
TestCockroach10214,24,13,0,0,0,18,0,0,0
TestCockroach10214,23,13,0,0,0,18,0,0,0
TestCockroach10214,24,13,0,0,0,18,0,0,0
TestCockroach10214,11,13,0,0,0,7,0,0,0
TestCockroach10214,24,13,0,0,0,18,0,0,0
TestCockroach10214,24,5,0,0,0,18,0,0,0
TestCockroach10214,24,13,0,0,0,18,0,0,0
TestCockroach10214,14,13,0,0,0,10,0,0,0
TestCockroach10214,24,13,0,0,0,18,0,0,0
TestCockroach10214,11,13,0,0,0,7,0,0,0
TestCockroach10214,24,13,0,0,0,18,0,0,0
TestCockroach10214,24,13,0,0,0,18,0,0,0
TestCockroach10214,24,13,0,0,0,18,0,0,0
TestCockroach10214,9,13,0,0,0,5,0,0,0
TestCockroach10214,23,13,0,0,0,18,0,0,0
TestCockroach10214,24,5,0,0,0,18,0,0,0
TestCockroach10214,11,13,0,0,0,7,0,0,0
TestCockroach10214,24,13,0,0,0,18,0,0,0
TestCockroach10214,24,5,0,0,0,18,0,0,0
TestCockroach10214,24,13,0,0,0,18,0,0,0
TestCockroach10214,24,5,0,0,0,18,0,0,0
TestCockroach10214,24,5,0,0,0,18,0,0,0
TestCockroach10214,24,13,0,0,0,18,0,0,0
TestCockroach10214,24,13,0,0,0,18,0,0,0
TestCockroach10214,11,5,0,0,0,7,0,0,0
TestCockroach10214,24,13,0,0,0,18,0,0,0
TestCockroach10214,24,13,0,0,0,18,0,0,0
TestCockroach10214,24,13,0,0,0,18,0,0,0
TestCockroach10214,24,13,0,0,0,18,0,0,0
TestCockroach10214,24,13,0,0,0,18,0,0,0
TestCockroach10214,24,13,0,0,0,18,0,0,0
TestCockroach10214,11,5,0,0,0,7,0,0,0
TestCockroach10214,24,13,0,0,0,18,0,0,0
TestCockroach10214,24,13,0,0,0,18,0,0,0
TestCockroach10214,24,13,0,0,0,18,0,0,0
TestCockroach10214,24,13,0,0,0,18,0,0,0
TestCockroach10214,24,13,0,0,0,18,0,0,0
TestCockroach10214,11,13,0,0,0,7,0,0,0
TestCockroach10214,24,5,0,0,0,18,0,0,0
TestCockroach10214,24,13,0,0,0,18,0,0,0
TestCockroach10214,9,13,0,0,0,5,0,0,0
TestCockroach10214,24,13,0,0,0,18,0,0,0
TestCockroach1055,44,5,5,5,0,13,12,0,0
TestCockroach1055,46,15,5,5,0,13,12,0,0
TestCockroach1055,46,15,5,5,0,13,12,0,0
TestCockroach1055,37,15,3,4,0,11,9,0,0
TestCockroach1055,32,15,3,3,0,9,7,0,0
TestCockroach1055,37,15,3,4,0,11,9,0,0
TestCockroach1055,46,15,5,5,0,13,12,0,0
TestCockroach10790,20,6,0,3,3,2,0,0,0
TestCockroach10790,21,16,0,3,3,2,0,0,0
TestCockroach10790,21,16,0,3,3,2,0,0,0
TestCockroach13197,3,2,0,1,0,0,0,0,0
TestCockroach13755,3,2,0,1,0,0,0,0,0
TestCockroach1462,21,3,0,2,2,4,5,0,0
TestCockroach1462,22,13,0,2,2,4,5,0,0
TestCockroach1462,22,13,0,2,2,4,5,0,0
TestCockroach1462,22,13,0,2,2,4,5,0,0
