TestName,Time
TestCockroach10214,182.20760
TestCockroach1055,199.94066
TestCockroach10790,3.68196
TestCockroach13197,1.28427
TestCockroach13755,1.28491
TestCockroach1462,183.11145
TestCockroach16167,204.14958
TestCockroach18101,54.84196
TestCockroach2448,1.26045
TestCockroach24808,41.45007
TestCockroach25456,41.45101
TestCockroach35073,199.57106
TestCockroach35931,41.47438
TestCockroach3710,180.25776
TestCockroach584,1.28292
TestCockroach6181,180.47137
TestCockroach7504,187.71989
TestCockroach9935,1.30512
TestEtcd10492,41.46725
TestEtcd5509,195.10803
TestEtcd6708,41.30718
TestEtcd6857,75.44848
TestEtcd,102.49657
TestEtcd7443,181.21874
TestEtcd7492,193.84408
TestEtcd7902,180.60401
TestGrpc1293,1.31026
TestGrpc1353,829.97911
TestGrpc1424,38.44703
TestGrpc1460,185.49030
TestGrpc3017,41.50177
TestGrpc660,1.29082
TestGrpc795,198.61194
TestGrpc862,1.91284
TestHugo3251,199.74531
TestHugo5379,201.76044
TestIstio16224,180.98921
TestIstio17860,187.87035
TestIstio18454,1.32537
TestKubernetes10182,182.15795
TestKubernetes11298,200.22509
TestKubernetes13135,184.14931
TestKubernetes1321,180.65819
TestKubernetes25331,1.42477
TestKubernetes26980,189.17350
TestKubernetes30872_bad_test,183.84306
TestKubernetes38669,1.37055
TestKubernetes5316,1.28918
TestKubernetes58107,190.11139
TestKubernetes62464,183.88166
TestKubernetes6632,71.54467
TestKubernetes70277,188.35284
TestMoby17176,1.30781
TestMoby21233,767.25640
TestMoby25384,41.00547
TestMoby27782,180.01756
TestMoby28462,1.29622
TestMoby29733,41.50183
TestMoby30408,41.43407
TestMoby33293,1.27933
TestMoby33781,1.29222
TestMoby36114,1.29559
TestMoby4395,1.29280
TestMoby4951,184.69540
TestMoby7559,1.42193
TestServing2137,188.26483
TestSyncthing4829,41.48765
TestSyncthing5795,198.04505
TestCockroach35501,741.58326
TestCockroach4407,180.22586
TestEtcd3077,194.90135
TestEtcd4876,180.31254
TestEtcd8194,0.45515
TestEtcd9446,181.02637
TestGrpc1687,0.37953
TestGrpc1748,181.46735
TestGrpc2371,0.37877
TestGrpc3090,149.02959
TestIstio16742,180.59035
TestIstio8144,39.10312
TestIstio8214,180.70249
TestIstio8967,64.25479
TestKubernetes13058,776.63079
TestKubernetes49404,2.06135
TestKubernetes70892,766.73668
TestKubernetes77796,184.42632
TestKubernetes79631,23.37124
TestKubernetes80284,197.49150
TestKubernetes81091,825.15364
TestKubernetes81148,185.87290
TestKubernetes82239,44.73239
TestKubernetes82550,1.32145
TestKubernetes88331,23.90179
TestKubernetes89164,188.53501
TestMoby18412,1.71833
TestMoby22941,89.81711
TestMoby27037,187.01773
TestServing3068,185.18920
TestServing3148,182.41902
TestServing4908,736.20553
TestServing5865,13.51753
TestServing6171,679.95543
TestServing6472,180.00974
Total,15990.22730
